All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total N,Romania,1992,362
Grand Total N,Romania,1993,411
Grand Total N,Romania,1994,227.6
Grand Total N,Romania,1995,233
Grand Total N,Romania,1996,266
Grand Total N,Romania,1997,220
Grand Total N,Romania,1998,268
Grand Total N,Romania,1999,182
Grand Total N,Romania,2000,240
Grand Total N,Romania,2001,268.5
Grand Total N,Romania,2002,239.1
Grand Total N,Romania,2003,213
Grand Total N,Romania,2004,242
Grand Total N,Romania,2005,241.2
Grand Total N,Romania,2006,234.2
Grand Total N,Romania,2007,324.2
Grand Total N,Romania,2008,345
Grand Total N,Romania,2009,345
Grand Total N,Romania,2010,374
Grand Total N,Romania,2011,516
Grand Total N,Romania,2012,501
Grand Total N,Romania,2013,502
Grand Total N,Romania,2014,514
Grand Total N,Romania,2015,601.4
Grand Total N,Romania,2016,638.8
Grand Total N,Romania,2017,674.3
Grand Total N,Romania,2018,664.8
Grand Total N,Romania,2019,622.8
Grand Total N,France,1986,2568.4
Grand Total N,France,1987,2557.1
Grand Total N,France,1988,2603.8
Grand Total N,France,1989,2660
Grand Total N,France,1990,2492.8
Grand Total N,France,1991,2569
Grand Total N,France,1992,2154
Grand Total N,France,1993,2222
Grand Total N,France,1994,2308.3
Grand Total N,France,1995,2391.7
Grand Total N,France,1996,2523.9
Grand Total N,France,1997,2513.1
Grand Total N,France,1998,2488.1
Grand Total N,France,1999,2571.4
Grand Total N,France,2000,2316.5
Grand Total N,France,2001,2392.3
Grand Total N,France,2002,2278
Grand Total N,France,2003,2330
Grand Total N,France,2004,2323
Grand Total N,France,2005,2204.4
Grand Total N,France,2006,2200.1
Grand Total N,France,2007,2402.7
Grand Total N,France,2008,2098.9
Grand Total N,France,2009,2068.8
Grand Total N,France,2010,2337.4
Grand Total N,France,2011,2020
Grand Total N,France,2012,2139.5
Grand Total N,France,2013,2178
Grand Total N,France,2014,2194.6
Grand Total N,France,2015,2212
Grand Total N,France,2016,2241
Grand Total N,France,2017,2242.7
Grand Total N,France,2018,2167.5
Grand Total N,France,2019,2125.9
Grand Total N,Nigeria,1986,121
Grand Total N,Nigeria,1987,108.3
Grand Total N,Nigeria,1988,153.2
Grand Total N,Nigeria,1989,180.4
Grand Total N,Nigeria,1990,210
Grand Total N,Nigeria,1991,212
Grand Total N,Nigeria,1992,220
Grand Total N,Nigeria,1993,220
Grand Total N,Nigeria,1994,186
Grand Total N,Nigeria,1995,100
Grand Total N,Nigeria,1996,105
Grand Total N,Nigeria,1997,77.3
Grand Total N,Nigeria,1998,100
Grand Total N,Nigeria,1999,107
Grand Total N,Nigeria,2000,105.6
Grand Total N,Nigeria,2001,146.9
Grand Total N,Nigeria,2002,93.3
Grand Total N,Nigeria,2003,140.8
Grand Total N,Nigeria,2004,109.8
Grand Total N,Nigeria,2005,141.6
Grand Total N,Nigeria,2006,150
Grand Total N,Nigeria,2007,140.3
Grand Total N,Nigeria,2008,384.2
Grand Total N,Nigeria,2009,339.5
Grand Total N,Nigeria,2010,510.3
Grand Total N,Nigeria,2011,334.4
Grand Total N,Nigeria,2012,241
Grand Total N,Nigeria,2013,412
Grand Total N,Nigeria,2014,260
Grand Total N,Nigeria,2015,185
Grand Total N,Nigeria,2016,264.6
Grand Total N,Nigeria,2017,453
Grand Total N,Nigeria,2018,436.4
Grand Total N,Nigeria,2019,355.1
Grand Total N,Croatia,1986,0
Grand Total N,Croatia,1987,0
Grand Total N,Croatia,1988,0
Grand Total N,Croatia,1989,0
Grand Total N,Croatia,1990,0
Grand Total N,Croatia,1991,0
Grand Total N,Croatia,1992,0
Grand Total N,Croatia,1993,0
Grand Total N,Croatia,1994,95
Grand Total N,Croatia,1995,93
Grand Total N,Croatia,1996,101.6
Grand Total N,Croatia,1997,152
Grand Total N,Croatia,1998,95
Grand Total N,Croatia,1999,99.4
Grand Total N,Croatia,2000,116
Grand Total N,Croatia,2001,99
Grand Total N,Croatia,2002,109.3
Grand Total N,Croatia,2003,108.2
Grand Total N,Croatia,2004,112.8
Grand Total N,Croatia,2005,122
Grand Total N,Croatia,2006,130.3
Grand Total N,Croatia,2007,133.9
Grand Total N,Croatia,2008,135
Grand Total N,Croatia,2009,93.6
Grand Total N,Croatia,2010,96.4
Grand Total N,Croatia,2011,110
Grand Total N,Croatia,2012,132
Grand Total N,Croatia,2013,129.8
Grand Total N,Croatia,2014,104.3
Grand Total N,Croatia,2015,106.2
Grand Total N,Croatia,2016,130.6
Grand Total N,Croatia,2017,126.4
Grand Total N,Croatia,2018,129.6
Grand Total N,Croatia,2019,124.7
Grand Total N,Serbia,1986,0
Grand Total N,Serbia,1987,0
Grand Total N,Serbia,1988,0
Grand Total N,Serbia,1989,0
Grand Total N,Serbia,1990,0
Grand Total N,Serbia,1991,0
Grand Total N,Serbia,1992,0
Grand Total N,Serbia,1993,0
Grand Total N,Serbia,1994,55
Grand Total N,Serbia,1995,79
Grand Total N,Serbia,1996,128.7
Grand Total N,Serbia,1997,165.8
Grand Total N,Serbia,1998,154
Grand Total N,Serbia,1999,107.4
Grand Total N,Serbia,2000,114.9
Grand Total N,Serbia,2001,175.1
Grand Total N,Serbia,2002,171.6
Grand Total N,Serbia,2003,131.7
Grand Total N,Serbia,2004,203.6
Grand Total N,Serbia,2005,215.5
Grand Total N,Serbia,2006,111
Grand Total N,Serbia,2007,143.4
Grand Total N,Serbia,2008,94.9
Grand Total N,Serbia,2009,128
Grand Total N,Serbia,2010,99
Grand Total N,Serbia,2011,110
Grand Total N,Serbia,2012,170.9
Grand Total N,Serbia,2013,224.5
Grand Total N,Serbia,2014,145
Grand Total N,Serbia,2015,164.3
Grand Total N,Serbia,2016,197.1
Grand Total N,Serbia,2017,240.3
Grand Total N,Serbia,2018,135.9
Grand Total N,Serbia,2019,190.6
Grand Total N,Kuwait,1986,0.4
Grand Total N,Kuwait,1987,0.3
Grand Total N,Kuwait,1988,0.8
Grand Total N,Kuwait,1989,0.5
Grand Total N,Kuwait,1990,0
Grand Total N,Kuwait,1991,0
Grand Total N,Kuwait,1992,0.8
Grand Total N,Kuwait,1993,1
Grand Total N,Kuwait,1994,1
Grand Total N,Kuwait,1995,1
Grand Total N,Kuwait,1996,2
Grand Total N,Kuwait,1997,1.2
Grand Total N,Kuwait,1998,1
Grand Total N,Kuwait,1999,1.1
Grand Total N,Kuwait,2000,0.7
Grand Total N,Kuwait,2001,2.4
Grand Total N,Kuwait,2002,1
Grand Total N,Kuwait,2003,1
Grand Total N,Kuwait,2004,1
Grand Total N,Kuwait,2005,1
Grand Total N,Kuwait,2006,1
Grand Total N,Kuwait,2007,1
Grand Total N,Kuwait,2008,1
Grand Total N,Kuwait,2009,1
Grand Total N,Kuwait,2010,1
Grand Total N,Kuwait,2011,1
Grand Total N,Kuwait,2012,1.5
Grand Total N,Kuwait,2013,2.4
Grand Total N,Kuwait,2014,2.3
Grand Total N,Kuwait,2015,6
Grand Total N,Kuwait,2016,2.3
Grand Total N,Kuwait,2017,2.5
Grand Total N,Kuwait,2018,2.4
Grand Total N,Kuwait,2019,1.6
Grand Total N,Kazakhstan,1986,0
Grand Total N,Kazakhstan,1987,0
Grand Total N,Kazakhstan,1988,0
Grand Total N,Kazakhstan,1989,0
Grand Total N,Kazakhstan,1990,237
Grand Total N,Kazakhstan,1991,213
Grand Total N,Kazakhstan,1992,150
Grand Total N,Kazakhstan,1993,86
Grand Total N,Kazakhstan,1994,65
Grand Total N,Kazakhstan,1995,64
Grand Total N,Kazakhstan,1996,67.1
Grand Total N,Kazakhstan,1997,15.1
Grand Total N,Kazakhstan,1998,12.6
Grand Total N,Kazakhstan,1999,30
Grand Total N,Kazakhstan,2000,30
Grand Total N,Kazakhstan,2001,41
Grand Total N,Kazakhstan,2002,50
Grand Total N,Kazakhstan,2003,50
Grand Total N,Kazakhstan,2004,39.1
Grand Total N,Kazakhstan,2005,40.5
Grand Total N,Kazakhstan,2006,43
Grand Total N,Kazakhstan,2007,45.4
Grand Total N,Kazakhstan,2008,50
Grand Total N,Kazakhstan,2009,50
Grand Total N,Kazakhstan,2010,55
Grand Total N,Kazakhstan,2011,58
Grand Total N,Kazakhstan,2012,61.7
Grand Total N,Kazakhstan,2013,28
Grand Total N,Kazakhstan,2014,65.5
Grand Total N,Kazakhstan,2015,72.8
Grand Total N,Kazakhstan,2016,94.6
Grand Total N,Kazakhstan,2017,88.8
Grand Total N,Kazakhstan,2018,115.2
Grand Total N,Kazakhstan,2019,72.9
Grand Total N,Viet Nam,1986,382.4
Grand Total N,Viet Nam,1987,309
Grand Total N,Viet Nam,1988,428.8
Grand Total N,Viet Nam,1989,424
Grand Total N,Viet Nam,1990,425.4
Grand Total N,Viet Nam,1991,619
Grand Total N,Viet Nam,1992,541.3
Grand Total N,Viet Nam,1993,565
Grand Total N,Viet Nam,1994,874.9
Grand Total N,Viet Nam,1995,813.7
Grand Total N,Viet Nam,1996,995.3
Grand Total N,Viet Nam,1997,922.9
Grand Total N,Viet Nam,1998,1186.1
Grand Total N,Viet Nam,1999,1224.2
Grand Total N,Viet Nam,2000,1332
Grand Total N,Viet Nam,2001,1136
Grand Total N,Viet Nam,2002,1305.4
Grand Total N,Viet Nam,2003,1371
Grand Total N,Viet Nam,2004,1437.4
Grand Total N,Viet Nam,2005,1165.7
Grand Total N,Viet Nam,2006,1123.5
Grand Total N,Viet Nam,2007,1109
Grand Total N,Viet Nam,2008,965
Grand Total N,Viet Nam,2009,1190
Grand Total N,Viet Nam,2010,1250
Grand Total N,Viet Nam,2011,1300
Grand Total N,Viet Nam,2012,1407
Grand Total N,Viet Nam,2013,1542.1
Grand Total N,Viet Nam,2014,1421
Grand Total N,Viet Nam,2015,1794.8
Grand Total N,Viet Nam,2016,1596.7
Grand Total N,Viet Nam,2017,1645.6
Grand Total N,Viet Nam,2018,1610.3
Grand Total N,Viet Nam,2019,1475.1
Grand Total N,Kyrgyzstan,1986,0
Grand Total N,Kyrgyzstan,1987,0
Grand Total N,Kyrgyzstan,1988,0
Grand Total N,Kyrgyzstan,1989,0
Grand Total N,Kyrgyzstan,1990,87
Grand Total N,Kyrgyzstan,1991,80
Grand Total N,Kyrgyzstan,1992,25.3
Grand Total N,Kyrgyzstan,1993,22
Grand Total N,Kyrgyzstan,1994,22
Grand Total N,Kyrgyzstan,1995,22
Grand Total N,Kyrgyzstan,1996,25
Grand Total N,Kyrgyzstan,1997,25
Grand Total N,Kyrgyzstan,1998,27.7
Grand Total N,Kyrgyzstan,1999,26.8
Grand Total N,Kyrgyzstan,2000,27.8
Grand Total N,Kyrgyzstan,2001,7
Grand Total N,Kyrgyzstan,2002,7
Grand Total N,Kyrgyzstan,2003,8.6
Grand Total N,Kyrgyzstan,2004,4.9
Grand Total N,Kyrgyzstan,2005,3.2
Grand Total N,Kyrgyzstan,2006,4.8
Grand Total N,Kyrgyzstan,2007,1.9
Grand Total N,Kyrgyzstan,2008,3.8
Grand Total N,Kyrgyzstan,2009,31
Grand Total N,Kyrgyzstan,2010,32.9
Grand Total N,Kyrgyzstan,2011,32
Grand Total N,Kyrgyzstan,2012,32
Grand Total N,Kyrgyzstan,2013,26.8
Grand Total N,Kyrgyzstan,2014,27.5
Grand Total N,Kyrgyzstan,2015,8.3
Grand Total N,Kyrgyzstan,2016,7.1
Grand Total N,Kyrgyzstan,2017,53.4
Grand Total N,Kyrgyzstan,2018,44.1
Grand Total N,Kyrgyzstan,2019,62
Grand Total N,Tanzania,1986,26.2
Grand Total N,Tanzania,1987,31.9
Grand Total N,Tanzania,1988,26.6
Grand Total N,Tanzania,1989,28.4
Grand Total N,Tanzania,1990,33.1
Grand Total N,Tanzania,1991,33.6
Grand Total N,Tanzania,1992,33.1
Grand Total N,Tanzania,1993,26.3
Grand Total N,Tanzania,1994,25.4
Grand Total N,Tanzania,1995,15
Grand Total N,Tanzania,1996,20.1
Grand Total N,Tanzania,1997,25
Grand Total N,Tanzania,1998,19.3
Grand Total N,Tanzania,1999,12.5
Grand Total N,Tanzania,2000,14.1
Grand Total N,Tanzania,2001,14.3
Grand Total N,Tanzania,2002,14.4
Grand Total N,Tanzania,2003,27.2
Grand Total N,Tanzania,2004,41.6
Grand Total N,Tanzania,2005,30.2
Grand Total N,Tanzania,2006,32.3
Grand Total N,Tanzania,2007,31.8
Grand Total N,Tanzania,2008,30.1
Grand Total N,Tanzania,2009,49.6
Grand Total N,Tanzania,2010,78.9
Grand Total N,Tanzania,2011,49.5
Grand Total N,Tanzania,2012,60.4
Grand Total N,Tanzania,2013,110.4
Grand Total N,Tanzania,2014,78.9
Grand Total N,Tanzania,2015,62.8
Grand Total N,Tanzania,2016,98.3
Grand Total N,Tanzania,2017,98.8
Grand Total N,Tanzania,2018,127.6
Grand Total N,Tanzania,2019,66.4
Grand Total N,Lebanon,1986,10.6
Grand Total N,Lebanon,1987,10
Grand Total N,Lebanon,1988,11.3
Grand Total N,Lebanon,1989,14
Grand Total N,Lebanon,1990,11
Grand Total N,Lebanon,1991,12.4
Grand Total N,Lebanon,1992,14.2
Grand Total N,Lebanon,1993,18
Grand Total N,Lebanon,1994,10
Grand Total N,Lebanon,1995,25
Grand Total N,Lebanon,1996,22
Grand Total N,Lebanon,1997,22
Grand Total N,Lebanon,1998,23.4
